Date,Open,High,Low,Close,Adj Close,Volume,year,month,Close_FD,High_FD,Low_FD,Open_FD,ADX_FD,SMA_FD,macd,macdsignal,macdhist,upperband,middleband,lowerband,RSI_FD,ret1,std5,std10,std20,std40,future_return
23/06/2016,23.98500061,24.07250023,23.8125,24.02499962,22.48191452,128960800,2016,Jun,0.400667768,0.400296309,0.403595751,0.403347032,7.508308837,0.397485761,-0.001143163,-0.000839056,-0.000304108,0.409651454,0.391105437,0.37255942,50.59903148,0.020339808,0.040468473,0.03232508,0.025592697,0.033594677,-0.078366558
24/06/2016,23.22750092,23.66500092,23.16250038,23.35000038,21.85027122,301245600,2016,Jun,0.369268814,0.386882855,0.376355514,0.372658914,8.210442257,0.395025683,-0.003122939,-0.001295832,-0.001827106,0.412756623,0.389860605,0.366964587,40.73045965,-0.078366558,0.047078401,0.039766941,0.030657302,0.035844484,0.00565453
27/06/2016,23.25,23.26250076,22.875,23.01000023,21.53211021,181958400,2016,Jun,0.371356856,0.380784001,0.380624448,0.393121761,8.862423291,0.393119258,-0.004471888,-0.001931043,-0.002540845,0.414177162,0.386746078,0.359314994,41.54690715,0.00565453,0.043950424,0.039123964,0.030526261,0.035168617,0.077624707
28/06/2016,23.22500038,23.41500092,23.03499985,23.39749908,21.89472198,161779600,2016,Jun,0.400183323,0.400101626,0.398570254,0.395520863,8.234343939,0.393029399,-0.003178249,-0.002180484,-0.000997764,0.414426269,0.386831496,0.359236723,51.48322684,0.077624707,0.056820902,0.045999521,0.035380036,0.036759534,0.004931542
29/06/2016,23.49250031,23.63750076,23.40749931,23.60000038,22.08421326,146124000,2016,Jun,0.402156844,0.408900264,0.413534318,0.409345568,8.122477474,0.39367795,-0.001971062,-0.0021386,0.000167538,0.418853558,0.388726721,0.358599884,52.08375838,0.004931542,0.055800311,0.04592635,0.034564395,0.035544924,0.017613767
30/06/2016,23.61000061,23.94249916,23.57500076,23.89999962,22.36494637,143345600,2016,Jun,0.409240341,0.416882859,0.411815515,0.408670889,8.430078521,0.394662849,-0.000437733,-0.001798427,0.001360693,0.423884383,0.390441236,0.356998089,54.27162256,0.017613767,0.055638707,0.045929582,0.03473266,0.034955008,-0.013465846
01/07/2016,23.87249947,24.11750031,23.83250046,23.97249985,22.43279076,104106000,2016,Jul,0.403729574,0.415994202,0.417101893,0.416112621,8.715708064,0.394984157,0.000328976,-0.001372946,0.001701922,0.423999543,0.397333388,0.370667232,52.27196564,-0.013465846,0.034883509,0.040585298,0.034681256,0.035033917,-0.032273567
05/07/2016,23.84749985,23.85000038,23.61499977,23.74749947,22.22223854,110820800,2016,Jul,0.39069978,0.398883976,0.400117316,0.407642516,8.266843389,0.394286073,-0.000113489,-0.001121055,0.001007566,0.413309808,0.401201972,0.389094137,47.78847771,-0.032273567,0.041804707,0.041568709,0.035215631,0.035439589,0.025952786
06/07/2016,23.64999962,23.91500092,23.59250069,23.88249969,22.34856987,123796400,2016,Jul,0.400839528,0.406811151,0.402841677,0.398420415,7.95846924,0.39408478,0.000350013,-0.000826841,0.001176854,0.413408219,0.401333213,0.389258208,51.28986998,0.025952786,0.023608802,0.041023381,0.03573489,0.035588345,0.003558417
07/07/2016,23.92499924,24.125,23.90500069,23.98500061,22.4444828,100558400,2016,Jul,0.402265882,0.414493393,0.416788931,0.414385607,8.090951998,0.394141553,0.00082295,-0.000496883,0.001319833,0.41343629,0.401355021,0.389273752,51.779749,0.003558417,0.023553038,0.040492272,0.03567337,0.03546577,0.010846216
08/07/2016,24.12249947,24.22249985,24.01250076,24.17000008,22.6176033,115648400,2016,Jul,0.406628945,0.412975888,0.413250705,0.416053355,7.983445342,0.39405572,0.001532157,-9.11E-05,0.001623232,0.411666705,0.400832742,0.389998779,53.32604574,0.010846216,0.022477593,0.040154532,0.035527213,0.035050913,-0.00637355
11/07/2016,24.1875,24.41250038,24.18250084,24.24500084,22.68778038,95179600,2016,Jul,0.404037275,0.416971473,0.415748556,0.412452184,8.11387148,0.39447033,0.0018636,0.00029986,0.00156374,0.411796646,0.400894282,0.389991919,52.25413903,-0.00637355,0.021711,0.029010764,0.034808237,0.034135171,0.003039996
12/07/2016,24.29249954,24.42499924,24.28000069,24.35499954,22.79072189,96670000,2016,Jul,0.405265547,0.411599578,0.414065586,0.413470537,8.11409744,0.395502981,0.002200021,0.000679892,0.001520129,0.407937781,0.403807435,0.39967709,52.73900303,0.003039996,0.012037028,0.029060079,0.034096705,0.033386887,-0.023355634
13/07/2016,24.35250092,24.41749954,24.20999908,24.21750069,22.66205025,103568800,2016,Jul,0.395800313,0.409426136,0.407185369,0.412179765,7.623600028,0.395522039,0.001683467,0.000880607,0.00080286,0.410365383,0.402799592,0.395233802,48.63981612,-0.023355634,0.013185883,0.018097274,0.034058506,0.029501957,0.05544871
14/07/2016,24.34749985,24.74749947,24.32999992,24.69750023,23.11122513,155676000,2016,Jul,0.41774693,0.42222379,0.412554967,0.409321925,7.964587491,0.396745633,0.003010301,0.001306546,0.001703755,0.419945911,0.405895802,0.391845693,56.98774818,0.05544871,0.029469587,0.02547087,0.036147384,0.029328874,-0.028195429
15/07/2016,24.72999954,24.82500076,24.625,24.69499969,23.10888481,120548000,2016,Jul,0.405968376,0.41688312,0.42130858,0.424140816,8.281218707,0.397035776,0.003075939,0.001660425,0.001415514,0.41979615,0.405763688,0.391731227,52.09392271,-0.028195429,0.033409682,0.026852129,0.036665653,0.029426856,0.020027429
